id,prompt,A,B,C,D,E,answer
4737,What is the purpose of using swimlanes in process flow diagrams?,To visually distinguish job sharing and responsibilities,To create parallel lines that divide the chart into lanes,To diagram a business process that involves more than one department,To improve the view of the flow on computer screens,To show clear linkage between related flow charts,A
4738,"What is the main focus of the book ""The Extermination of the American Bison""?",The ecology of the bison population,The history of Yellowstone National Park,The industrial-scale hunting of bison,The Smithsonian Institution,The European settlement of North America,C
4739,What is the purpose of Elemental Cost Planning?,To ensure that the tender amount matches the first estimate.,To allocate money consciously and economically to the various components and finishes of a project.,To measure and price approximate quantities at some stage of the process.,To achieve good value at the desired level of expenditure.,To prepare a design not to exceed a fixed cost limit.,B
4740,What is the purpose of a herbal?,To provide information on medicinal plants,To give insight into the legends associated with plants,To offer recipes for herbal extracts and potions,To classify plants and offer botanical descriptions,To replace the use of modern medicine,D
4741,"What is the definition of vertical in astronomy, geography, and related sciences?",A direction or plane that contains the local gravity direction at a given point,A direction or plane that is perpendicular to the vertical direction,A direction or plane that is drawn from up to down (or down to up),A direction or plane that is parallel to the horizon,A direction or plane that is marked as a boundary,A
4742,What is the main goal of lean software development?,Amplify learning,Build integrity in,Eliminate waste,Optimize the whole,Empower the team,C
4743,What is functional cloning?,A cloning technique that relies on prior knowledge of the encoded protein’s sequence or function for gene identification,A cloning technique that uses degenerate oligonucleotides to identify the gene encoding the protein of interest,A cloning technique that relies on screening cDNA libraries with antibodies specific for the protein of interest,A cloning technique that relies on the amino acid sequence of a protein to identify the gene of interest,A cloning technique that allows researchers to screen entire genomes without prior knowledge of the location of the gene or the genetic sequence,A
4744,What is the mechanism of action of Technetium (99mTc) arcitumomab?,It inhibits the growth of colorectal cancers,It acts as a radioisotope to destroy cancer cells,It recognizes an antigen over-expressed in colorectal cancers,It enhances the immune response against cancer cells,It prevents the spread of cancer to other organs,C
4745,What is the purpose of immunocytochemistry?,To visualize the localization of a specific protein in cells,To examine the surrounding extracellular matrix of cells,To determine the sub-cellular compartments expressing the antigen,To assess the presence of DNA in cells,To isolate cells from a block of solid tissue,A
4746,What is Klaus Wagner known for?,Contributions to graph theory,Contributions to number theory,Contributions to abstract algebra,Contributions to geometry,Contributions to calculus,A
4747,What are the primitive notions in ordered geometry?,Points and lines,Points and planes,Points and angles,Points and intervals,Points and segments,E
4748,What is a positively invariant set in mathematical analysis?,A set that a trajectory of a dynamical system will never leave once it enters it,A set that contains only positive numbers in mathematical equations,A set of real numbers that satisfies a specific function,A set that changes its elements according to the properties of a dynamical system,A set that is positively correlated with other sets in mathematical analysis,A
4749,Who directed the film Night at the Museum: Battle of the Smithsonian?,Shawn Levy,Chris Columbus,Michael Barnathan,Robert Ben Garant,Thomas Lennon,A
4750,Which of the following design professions involves creating drawings or plans?,Animation,Engineering design,Fashion design,Graphic design,Product design,E
4751,Which state is home to the Ford Piquette Avenue Plant?,Michigan,California,New York,Texas,Ohio,A
4752,What is the purpose of bill and keep (B&K or BAK) in the telecommunications industry?,To reduce arbitrage practices and encourage the deployment of IP-based networks,To increase the cost barrier for off-network calls and prevent lowering of prices,To improve the quality of service offered to the end user,To establish competitive distortions between wireline and wireless carriers,To cap mobile termination rates at a competitive level,A
4753,Who was responsible for hiring R A Fisher for statistical research at Rothamsted?,Sir Edward John Russell,Alfred Daniel Hall,Reverend Edward T Russell,Victoria University of Manchester,Goldsmith's Company,A
4754,Who initiated the Flora Zambesiaca project?,Arthur Wallis Exell,Miss L. M. Ripley,Miss G. W. Dalby,Government Communications Headquarters,"Royal Botanic Gardens, Kew",A
4755,What is the goal of engineering statistics in engineering applications?,To formulate scientific and engineering problems,To analyze data using statistical models,To optimize a process or product,To conduct hypothesis testing,To suggest other questions and help plan future experiments,C
4756,What is the purpose of the International Inventories Programme (IIP)?,To investigate cultural artifacts stolen from Kenya,To establish a direct relation to contemporary cultural activities in Kenya and Germany,To narrow gaps in knowledge about Kenya's cultural objects,To document objects in German museums online,To demand the repatriation of cultural artifacts from Western collections,C
4757,What is the purpose of srm (Secure Remove) utility?,"To securely delete files by overwriting, renaming, and truncating them",To recover deleted files from the command line,To create hard links for files,To encrypt files for secure storage,To compress files for efficient storage,A
4758,What is the role of Amurensin K in Vitis amurensis?,It is a resveratrol tetramer,It is an effective neuraminidase inhibitor,It is a preliminary test against the influenza A virus subtype H1N1,It is an oligostilbene,It is found in Vitis amurensis,B
4759,Who developed the first all hydraulic backhoes in 1947?,Wain-Roy Corporation,Connecticut Light and Power Company,JCB,Ford,TLB,A
4760,What is the purpose of the MammaPrint test?,To assess the risk of tumor metastasis,To determine the effectiveness of chemotherapy,To classify breast cancer patients into different stages,To identify specific gene mutations in breast cancer,To predict the likelihood of disease recurrence,A
4761,What are the primary components of Alker?,"Gypsum, lime, and water","Clay, lime, and water","Gypsum, clay, and adobe","Gypsum, lime, and adobe","Clay, lime, and adobe",A
4762,Who launched the first Human Development Report?,Mahbub ul Haq,Amartya Sen,United Nations General Assembly,United Nations Development Programme,Human Development Report Office,A
4763,What is the primary purpose of Earth systems models of intermediate complexity (EMICs)?,To investigate the earth's systems on short timescales,To investigate the earth's systems at reduced computational cost,To simulate the earth's systems on long timescales with high accuracy,To simulate the earth's systems on long timescales with high resolution,To simulate the earth's systems on short timescales with high resolution,B
4764,What are the advantages of cold working over hot working?,No heating required,Improved surface finish,Superior dimensional control,Directional properties can be imparted into the metal,All of the above,E
4765,What is the origin of acidity in Lewis-acidic antimony compounds?,Electrostatic interaction,Donor-acceptor orbital interaction,Hydrogen bonding,Ionic interaction,Covalent interaction,B
4766,"In the novel Drakon, what is the name of the new civilization that the Alliance survivors have started in the Alpha Centauri star system?",United States of Samothrace,Domination,Draka,Alliance,Alpha Centauri,A
4767,What are some of the problems associated with traditional landfills?,Release of methane gas,Production of leachate,Escape of leachate into groundwater,Health problems in animals and plants,All of the above,E
4768,What is the capacity of the artificial island in the North Sea initially?,3 GW,10 GW,4 GW,7 GW,5 GW,A
4769,What is the brand name of talimogene laherparepvec?,Imlygic,Talimorepvec,MelanomaTec,Laherprepvec,Taligene,A
4770,What is the response rate of talimogene laherparepvec in the final four year analysis of the phase 3 study?,31.5%,16.9%,88.5%,61.5%,50%,A
4771,What is the risk reduction of death in patients with earlier metastatic disease who received talimogene laherparepvec?,Approximately 50%,31.5%,16.9%,88.5%,61.5%,A
4772,What is the most common side effect of talimogene laherparepvec?,Fatigue and chills,Fever,Nausea,Flu-like symptoms,Pain at the injection site,A
4773,What type of virus is talimogene laherparepvec?,Genetically engineered herpes virus,Oncolytic herpes virus,Inactivated herpes virus,Adenovirus,Retrovirus,A
4774,What is the purpose of atmospheric dispersion modeling?,To estimate the upwind ambient concentration of air pollutants,To predict the weather conditions in the atmosphere,To simulate the movement of air pollutants in the ambient atmosphere,To study the impact of air pollution on human health,To measure the concentration of air pollutants in industrial plants,C
4775,What is the main purpose of CALUX bioassay?,To measure the total effect of ligands on a specific receptor,To analyze the chemical composition of samples,To detect environmentally harmful chemicals,To regulate DNA response elements,To measure the activity of the luciferase gene,A
4776,What is the primary color of the posterior wings of Euphaedra eupalus?,Red brown,Purplish blue,Dark yellow,Black,White,B
4777,What is the definition of Specialty Engineering in the domain of systems engineering?,Specialty Engineering includes engineering disciplines that are not typical of the main engineering effort,"Specialty Engineering includes hardware, software, and human factors engineering",Specialty Engineering includes common engineering efforts in systems engineering,"Specialty Engineering includes electromagnetic interference, safety, and physical security",Specialty Engineering includes less common but just as important engineering efforts,A
4778,What is a product layout in manufacturing engineering?,A production system where work stations and equipment are located along the line of production,A production system where work stations and equipment are located in a circular pattern,A production system where work stations and equipment are located randomly,A production system where work stations and equipment are located in separate rooms,A production system where work stations and equipment are located outdoors,A
4779,Who was Steven Jay Hatfill accused of being involved with in 2001?,The FBI,Science Applications International Corporation (SAIC),The Justice Department,The media,Bruce Edwards Ivins,E
4780,Who popularized Cuisenaire rods?,Maria Montessori,Caleb Gattegno,Friedrich Fröbel,Georges Cuisenaire,Thuin,B
4781,What did Georges Cuisenaire wonder about?,Why children found music easy and enjoyable,Why children found mathematics easy and enjoyable,Why children found music difficult and unenjoyable,Why children found mathematics difficult and unenjoyable,Why children found it easy to pick up a tune,D
4782,What did Georges Cuisenaire experiment with in 1931?,A set of colored number rods,A set of fraction rods,A set of music rods,A set of arithmetic rods,A set of ten rods sawn out of wood,E
4783,What was the first telerobot device made available for general use on the Internet in 1994?,The UWA telerobot,The USC robot,The ABB IRB1400 model,The plastic toy robot,The National Instruments Labview application,A
4784,What is irrigation scheduling?,Determining the frequency and duration of watering,Calculating evapotranspiration for plants,Adjusting irrigation based on soil moisture,Using rain sensors to control irrigation,Determining the precipitation rate of irrigation equipment,A
4785,Who is the founder of Dropel Fabrics?,Sim Gulati,Amanda Parkes,Miroslava Duma,Gaetan Bonhomme,Alex Moore,A
4786,"Who was the main editor of the book ""Animal""?",David Burnie,Co-authors,Dorling Kindersley,David Burnie and Co-authors,David Burnie and Dorling Kindersley,A
4787,"What is the full title of the book ""Animal""?",Animal: The Definitive Visual Guide to The World's WildLife,Animal: The Ultimate Guide to Wildlife and Nature,Animal: The Encyclopedia of Wild Animals,Animal: A Comprehensive Study of Wildlife Species,Animal: Exploring the Diversity of Creatures in the Wild,A
4788,"When was the book ""Animal"" published?",1999,2001,2003,2005,2007,B
4789,"What are the main sections covered in the book ""Animal""?","Mammals, Birds, Reptiles, Amphibians, Fish, and Invertebrates","Classification, Behavior, Habitats, and Life Cycles","Mammals, Birds, Reptiles, and Invertebrates","Classification, Behavior, Habitats, and Invertebrates","Mammals, Reptiles, Amphibians, Fish, and Invertebrates",A
4790,What is the definition of a simple subcubic graph (SSCG)?,A graph with each vertex having a degree of at most three,A graph with each vertex having a degree of at least three,A graph with each vertex having a degree greater than three,A graph with each vertex having a degree less than three,A graph with each vertex having a degree of exactly three,A
4791,What does the Robertson–Seymour theorem prove about subcubic graphs?,They are well-founded by homeomorphic embeddability,They can be embedded into other graphs,They have an infinite sequence,They have a maximum length sequence,They are not well-founded by homeomorphic embeddability,A
4792,What is the function SSCG(k) used for?,Denotes the length of the sequence for simple subcubic graphs,Denotes the length of the sequence for (general) subcubic graphs,Denotes the maximum length of the sequence for simple subcubic graphs,Denotes the maximum length of the sequence for (general) subcubic graphs,Denotes the length of the sequence for any type of graph,A
4793,What is the initial value of the SSCG sequence?,0,2,5,6,1,B
4794,How does the SSCG sequence grow compared to the SCG sequence?,"Slower initially, but then rapidly","Faster initially, but then slows down",At a constant rate,The same as the SCG sequence,It does not grow,A
4795,What is the purpose of intumescent materials in passive fire protection?,To increase volume and decrease density,To retard heat transfer through fire stop assembly,To pass standardized fire tests,To comply with national building codes and laws,To form a microporous carbonaceous foam,B
4796,What was the networking standard used by Sun SPOT?,IEEE 802.11,IEEE 802.15.4,Bluetooth,Zigbee,NFC,B
4797,What is the geological period in which the fossils preserved in the Hordaland Formation date back to?,Cretaceous period,Jurassic period,Triassic period,Paleogene period,Neogene period,D
4798,Who is credited with the concept of primitive communism?,Karl Marx,Friedrich Engels,Lewis H. Morgan,Jean-Jacques Rousseau,Ely S. Parker,B
4799,What is the focus of mathematical knowledge management (MKM)?,Automated processing of formulae,Creating databases of mathematical knowledge,Studying the interconnectedness between different areas of mathematics,Using artificial intelligence in mathematics,All of the above,E
4800,Who is the Riemann-Silberstein vector named after?,Bernhard Riemann,Heinrich Martin Weber,Ludwik Silberstein,Maxwell,Einstein,A
4801,When was Gilbert & Bennett Manufacturing Company founded?,1834,1998,2001,2002,2023,A
4802,What is the conventional definition of lead time in supply chain management?,The time from the moment the customer places an order to the moment it is ready for delivery,"The time required to manufacture an item, including various process times",The time taken from the release of an order to production and receipt into finished goods inventory,The time required for the buying organisation's internal processes to progress from identification of a need to the issue of a purchase order,"The time required for the supplying organisation's processes, including any development required, manufacture, dispatch and delivery",A
4803,What is the principle of operation of a gas ionization chamber?,Measuring the charge from the number of ion pairs created within a gas caused by incident radiation,Detecting and measuring different types of ionizing radiation,Differentiating the energy of different types of radiation,Producing an output in the form of a small direct current,Providing a uniform response to radiation over a wide range of energies,A
4804,What is one of Russell David Gray's main research projects?,The evolution of the Indo-European language family,The evolution of the Austronesian language family,The use of tools among New Caledonian crows,Animal cognition in primates,The study of human prehistory,C
4805,When was the Priory Palace built?,1799,1801,1785,1805,1810,A
4806,When was the International Brotherhood of Paper Makers chartered by the American Federation of Labor?,1884,1893,1897,1898,1902,B
4807,What is the name of the compound derived from the sponge isolate jasplakinolide that was submitted to the National Cancer Institute’s Biological Evaluation Committee in 2011?,Trabectedin,Aplidine,Didemnin,Jasplakinolide,Monomethyl auristatin E,A
4808,When was the Spore Creature Creator released?,March 2008,June 2008,July 2008,August 2008,September 2008,B
4809,What is the Water Cube also known as?,The National Aquatics Centre,The Ice Cube,The Olympic Green,The Water Park,The Sydney Cube,B
4810,What are the three steps involved in 3D bioprinting?,"Printing, modeling, and choosing materials","Pre-bioprinting, bioprinting, and post-bioprinting","Depositing materials, creating tissue-like structures, and printing scaffolds","Researching drugs, potential treatments, and creating functional organs","Mixing cells with hydrogels, bioprinting extracellular matrix, and regenerating joints and ligaments",B
4811,What is Metal Assisted Chemical Etching (MACE)?,A process of wet chemical etching of semiconductors with the use of a metal catalyst,A process of dry chemical etching of semiconductors with the use of a metal catalyst,A process of wet chemical etching of metals with the use of a semiconductor catalyst,A process of dry chemical etching of metals with the use of a semiconductor catalyst,A process of etching semiconductors without the use of a metal catalyst,A
4812,What is the purpose of using Simplified User Interfaces (SUIs)?,To create visually appealing software interfaces,To reduce the rest of the interface to abstract shapes,To aid in the translation of documents into other languages,To improve the speed and clarity of communication,To future-proof against incremental changes to the interface,D
4813,What is the main purpose of Sinec H1 protocol?,To provide transport layer function for automation and process control applications,To provide large bandwidth for computer networking,To transmit large volumes of data in industrial control systems,To control the infrastructure of CERN and LHC,To develop the H1 Ethernet protocol,A
4814,What is the purpose of spacecraft collision avoidance?,To prevent the accumulation of space debris in orbit,To increase the speed of orbiting spacecraft,To study the effects of on-orbit collisions,To analyze the structural integrity of spacecraft materials,To predict the trajectory of orbiting objects,A
4815,What is the potential consequence of a collision between two spacecraft?,Both spacecraft will be critically damaged or completely destroyed,The collision will cause a cascading series of collisions,The kinetic energy involved will vaporize the spacecraft,The spacecraft materials will be ejected in all directions,The spacecraft will increase its orbital velocity,A
4816,What is the term used to describe a critical mass of space debris accumulating in Earth orbit?,Kessler syndrome,Orbital speed,Geocentric orbit,Spacecraft collision avoidance,On-orbit collisions,A
4817,What is an information set in game theory?,A set of possible actions for a player based on their observations,The exact mix of chance moves and player strategies in a game,The path from the start of a game to the current point,The set of all possible outcomes in a game,The benefits of each action in a game,A
4818,What was one of the reasons Sidney Kennon became wealthy?,She charged high fees for her deliveries,She inherited a large sum of money,She won the lottery,She invested in the stock market,She sold her collections at a high price,A
4819,What distinguishes Laxus from other stilbonematine genera?,Finely-annulated somatic cuticle,Thickened cephalic cuticle,Small and coiled amphidial fovea,Lack of male structures,All of the above,E
4820,Which biome does the Illyrian deciduous forests belong to?,"Mediterranean forests, woodlands, and scrub biome",Tropical rainforest biome,Grassland biome,Desert biome,Taiga biome,A
4821,Who was Atsuko Nagai a rival of in judo?,Ryoko Tamura,Ayumi Tanimoto,Komatsu Limited,Saitama University,"Ageo, Saitama",A
4822,When was the fourth edition of the Microsoft Manual of Style published?,1995,1998,2004,2012,2018,D
4823,What is the main difference between carbon black and soot?,"Carbon black is spherical in shape, while soot is not","Carbon black is produced through incomplete combustion with restricted oxygen access, while soot is a combustion product","Carbon black is considered to be a hazardous substance, while soot is not",Carbon black has higher amorphous carbon content compared to soot,"Carbon black improves electrical conductivity of plastic materials and rubbers, while soot does not",B
4824,What is the recognition sequence of EcoRI?,G↓AATTC,CTTAA↓G,AATT,EcoRI,RY13,A
4825,Where was the first CADE conference organized?,Argonne National Laboratory,Chicago,Europe,United States,World,A
4826,When did CADE start being held yearly?,1974,1996,2001,2004,International Joint Conference on Automated Reasoning,B
4827,When was CADE merged into IJCAR for the first time?,1974,1996,2001,2004,Biannually,C
4828,How often has CADE been merged into IJCAR since 2004?,1974,1996,2001,Biannually,World,D
4829,What is the name of the organization responsible for CADE?,Argonne National Laboratory,Chicago,IJCAR,Europe,United States,C
4830,Which crystalline form of boron nitride is the most stable and soft?,Amorphous form,Cubic form,Wurtzite form,Hexagonal form,Diamond form,D
4831,What is the purpose of using ritonavir in combination with other medications?,To treat HIV/AIDS,To treat hepatitis C,To treat COVID-19,To treat liver complications,To treat arrythmias,A
4832,What is Robert E. Horn known for?,"Teaching at Harvard, Columbia, and Sheffield universities",Being a visiting scholar at Stanford University's Center for the Study of Language and Information,Development of information mapping,Contributions to the field of visual language,Writing influential publications,C
4833,"In the Marvel Comics, what is the name of the physicist who gained control over the electromagnetic attraction between his body’s molecules?",Will o’ the Wisp,Dr. Jackson Arvad,Spider-Man,The Vision,Roxxon Oil,B
4834,What is the main purpose of hydrogenotrophs in the human gut?,To metabolize carbon dioxide into food,To produce methane through carbon dioxide reduction,To act as a substitute for plant extracts and oils,To convert single-carbon molecules into usable energy,To assist in the development of sustainable agricultural methods,A
4835,"What is STEVE (""Strong Thermal Emission Velocity Enhancement"")?",An atmospheric optical phenomenon,A type of satellite mission,A scientific research group,A type of plasma,A movie character,A
4836,What are the uses of Carex nebrascensis?,Forage for livestock and wildlife,Ornamental grass plant in gardens,Treatment of cardiovascular diseases,Waste management in urban areas,Crop production for commercial purposes,A
4837,"According to Daniel E. Koshland, what does ""Program"" refer to in the Seven Pillars of Life?",The ability of a living system to change its program in response to the environment,The separation of spaces in a living system that allow for separate environments for chemical processes,The organized plan that describes both the ingredients themselves and the kinetics of the interactions among ingredients as the living system persists through time,The requirement of energy for a living system to exist,The ability of a living system to protect the concentration of the ingredients for a reaction from outside environments,C
4838,What is the Blaser R8 known for?,Its radially locking bolt system,Its modularity and its barrel mounted scope mount,Its manual cocking system and direct trigger,"Its production of more than 100,000 complete rifles in 2015",Its basis on the discontinued Blaser R93 rifle series,B
4839,"What is the name of the bonding seen in graphene, carbon nanotubes, polycyclic aromatic hydrocarbons, fullerenes, and glassy carbon?",σ-bonds,π-bonds,hydrogen bonds,covalent bonds,ionic bonds,B
4840,When was the Zwiesel Forest Museum established?,1904,1924,1960,19th century,late 19th century,B
4841,What is the name of the axiomatization of arithmetic in accordance with the philosophy of intuitionism?,Heyting arithmetic,Peano arithmetic,Intuitionistic arithmetic,Predicate arithmetic,Inference arithmetic,A
4842,"What does the term ""cis-action"" mean?",An action on the same,An action on a different,An action on a self-replicating entity,An action on a circular dependency,An action on life itself,A
4843,What is the broad classification of computer software?,"Application software, system software, and computer programming tools","Free software, open source software, public domain software","General-purpose software, specific-purpose software, and computer programming tools","System software, GNU software, and commercial software","Proprietary software, freeware, shareware, and private software",A
4844,Who is the head of Stemagen corporation?,Dr. Samuel Wood,Dr. Andrew French,Dr. Wood and a colleague,Dr. Samuel Wood and Dr. Andrew French,Dr. Wood and Dr. Samuel French,A
4845,What is the purpose of creating mature human embryos using DNA from adult skin cells?,To provide a less-controversial source of viable embryonic stem cells,To clone adult skin cells,To perform reproductive cloning,To donate skin cells for research purposes,To study the development of human embryos,A
4846,What was announced by Dr. Andrew French and Dr. Samuel Wood in January 2008?,The successful creation of mature human embryos using adult skin cells,The development of a new cloning technology,The donation of skin cells for research purposes,The unethical and illegal nature of using cloning technology for reproductive purposes,The discovery of a less-controversial source of viable embryonic stem cells,A
4847,Would the embryos produced using the technology be capable of further development?,Yes,No,It is not clear,The technology was not successful,The embryos were created for research purposes only,C
4848,"According to Dr. Wood, why would using the technology for reproductive cloning be unethical and illegal?",Because it would violate ethical guidelines,Because it would require the use of human eggs,Because it would lead to controversy,Because it would not be scientifically feasible,Because it would not be approved by Stemagen corporation,A
4849,What does the Sail Area-Displacement ratio (SA/D) calculation indicate about a boat?,The weight of the boat relative to its sail area,The boat’s performance in a storm,The boat’s performance upwind,The displacement of the boat in cubic feet,The boat’s performance in light winds,E
4850,What is the process of sowing referred to as?,Planting seeds in an area,Casting handfuls of seed over prepared ground,Seeding grasses and legumes,Planting maize and soybeans,Maintaining a planting depth of 2-3 times the size of the seed,A
4851,Which gene in E. coli NC101 is mutated and necessary for NAD biosynthesis?,nadA,nadB,nadC,nadD,nadE,A
4852,What are some of the issues associated with biofuel production and use?,Effect of moderating oil prices,Food vs fuel debate,Poverty reduction potential,Carbon emissions levels,Sustainable biofuel production,A
4853,Which company was the first to launch their cloud music locker service?,Amazon,Apple,Google,Microsoft,Spotify,A
4854,What is the purpose of a machine tool?,To handle and machine metal or other rigid materials,To assist in managing the relative motion between cutting tool and the job,To provide guided movement of the parts of the machine,To enable the economical production of interchangeable parts,To make manufactured parts using cutting or deformation,A
4855,What is the configuration known as Möbius configuration or Möbius tetrads?,A configuration of six points and six planes,A configuration of eight points and eight planes,A configuration of five points and five planes,A configuration of four points and four planes,A configuration of seven points and seven planes,B
4856,"What is the main theme of ""The Island of Doctor Moreau""?",The exploration of pain and cruelty,The consequences of human interference with nature,The examination of moral responsibility,The exploration of human identity,The effects of trauma,B
4857,What is NAIL-MS?,A technique used for the investigation of nucleic acids and its modifications,A technique used for the investigation of proteins and its modifications,A technique used for the investigation of carbohydrates and its modifications,A technique used for the investigation of lipids and its modifications,A technique used for the investigation of metals and its modifications,A
4858,What is the main purpose of the lumi software project?,To provide algorithms and data management tools of Illumina in the framework of Bioconductor,To analyze and comprehend Illumina expression and methylation microarray data,To develop open source software for statistical analysis in R programming language,To detect differential genes and conduct Gene Ontology analysis,To provide an analysis pipeline for probe-level Illumina expression and methylation microarray data,A
4859,What was Maria Heep-Altiner's role at Talanx?,Actuarial manager for property insurance,Mathematics lecturer,Economics professor,Internal holding model manager,Insurance company CEO,D
4860,What is the cobra effect?,An unintended and undesirable result of an incentive,A strategy to kill venomous cobras,A term coined by economist Horst Siebert,A program to reward people for breeding cobras,A way to stimulate the economy and politics,A
4861,What technique was used to cast the metal objects in the Chalcolithic period?,Sand casting,Lost wax technique,Gravity casting,Investment casting,Centrifugal casting,B
4862,"What is the algebraic construction used in geometry to study areas, volumes, and their higher-dimensional analogues?",Grassmann algebra,Exterior product,Wedge product,Bivector,Vector space,B
4863,What is the magnitude of the exterior product of two vectors called?,Bivector,Exterior square,Original space,Parallel plane,Cross product,A
4864,What property does the exterior product have in relation to the cross product?,Anticommutative,Associative,Commutative,Distributive,Multiplicative,A
4865,What is the exterior product of two vectors called when regarded as a 2-blade?,Wedge product,Grassmann algebra,Bivector,Vector space,Cross product,C
4866,What is the exterior product of any number k of vectors called?,Decomposable,Exterior square,Simple,Oriented volume,Blade,E
4867,What is the main purpose of the BeBionic prosthetic hand?,To enable amputees to perform everyday activities,To provide a cosmetic solution for amputees,To assist in medical research for prosthetics,To offer a high-tech gadget for amputees,To facilitate communication for amputees,A
4868,What is the purpose of the eddy break-up model (EBU) in combustion engineering?,To control the rate of combustion,To improve the mixing of fuel and oxygen,To separate fuel and oxygen in the combustion chamber,To facilitate chemical reactions in the combustion chamber,To create diffusion flames,B
4869,What is the Bing shrinking criterion?,A method for showing that a quotient of a space is homeomorphic to the space,A criterion for determining the dimension of a space,A method for calculating the volume of a space,A criterion for determining the curvature of a space,A method for constructing a space from its quotient,A
4870,What is CRISPR gene editing?,A technique to modify the genomes of living organisms,A technique to study bacterial defense systems,A technique to control pathogens and pests,A technique to treat inherited genetic diseases,A technique to create new medicines,A
4871,What is a process map?,A dynamic and algorithmic view of processes,A global-system process model that outlines business processes,A detailed process model that shows the flow of processes,A notation standard used for modelling process maps,A view of the business system that captures global characteristics,B
4872,What is a gyn?,A lifting device used on sailing ships,A type of rigging for support on ships,A device used to lift things horizontally,A tool for repairing ship hulls,A type of anchor used on sailing ships,A
4873,Which bacteria species is commonly used in tumor homing?,Salmonella,Clostridium,Bifidobacterium,Listeria,Streptococcus,B
4874,What is Maharam's theorem about?,Decomposability of measure spaces,The theory of Banach spaces,The counting measure on a discrete space,"Products of the unit interval [0,1] on the reals",The isomorphism of abelian von Neumann algebras,A
4875,What are some of the most common forms of mobile computing devices?,Portable computers,Smart cards,Mobile phones,Wearable computers,All of the above,E
4876,What is the operating mechanism of the HK21?,Gas-operated,Blowback-operated,Lever-delayed blowback,Bolt-action,Direct impingement,C
4877,What is the definition of metagenics?,The creation of something which creates,The genetic engineering of E. coli,The practice of engineering organisms to create biochemicals,The process of digesting plant biomass to produce biofuels,The use of starting amino acids to produce insulin,A
4878,What is the main purpose of ICESat-2?,Measure ice sheet elevation,Study land topography,Monitor vegetation characteristics,Measure sea ice thickness,Detect seafloor topography,A
4879,What are kodecytes?,Cells modified by FSL constructs to gain new functions,Cells with modified lipid tails in the bilipid membrane,"Cells with functional moieties, spacers, and lipids",Cells used for the development of new diagnostic applications,Cells that passively enter the plasma membrane,A
4880,What is the enzyme responsible for the bioluminescence of fireflies and click beetles?,Firefly luciferase,Firefly luciferin,Oxyluciferin,Luciferyl adenylate,Luciferyl adenylate + O2,A
4881,What is the first step in the chemical reaction catalyzed by firefly luciferase?,luciferin + ATP → luciferyl adenylate + PPi,luciferyl adenylate + O2 → oxyluciferin + AMP + light,luciferin + ATP → oxyluciferin + AMP + light,luciferin + ATP → luciferyl adenylate + PPi + light,luciferyl adenylate + O2 → oxyluciferin + AMP,A
4882,What is formed when luciferyl adenylate reacts with oxygen?,oxyluciferin,AMP,light,hydrogen peroxide,dehydroluciferyl-AMP,A
4883,What is the final product of the chemical reaction catalyzed by firefly luciferase?,oxyluciferin + AMP + light,oxyluciferin,AMP + light,hydrogen peroxide,dehydroluciferyl-AMP,A
4884,What is the side reaction that luciferyl adenylate can participate in?,luciferyl adenylate + O2 → hydrogen peroxide + dehydroluciferyl-AMP,luciferin + ATP → luciferyl adenylate + PPi,luciferyl adenylate + O2 → oxyluciferin + AMP + light,luciferin + ATP → oxyluciferin + AMP + light,luciferyl adenylate + PPi → oxyluciferin + AMP + light,A
4885,What are ear picks used for?,To clean the ear canal of earwax,To remove foreign objects from the ear,To treat ear infections,To improve hearing,To relieve ear pain,A
4886,What are engineering controls for nanomaterials?,Methods used to control health and safety hazards of nanomaterials,Methods used to eliminate nanomaterials from the workplace,Methods used to substitute nanomaterials with safer alternatives,Methods used to provide personal protective equipment for workers,Methods used to administratively control nanomaterials,A
4887,What is a Butterworth cover?,A cover used to seal a small opening on the deck of a cargo vessel,A cover used to seal the main access hatches on a cargo vessel,A cover used to seal the service openings on a cargo vessel,A cover used to seal the engine room on a cargo vessel,A cover used to seal the fuel tanks on a cargo vessel,C
4888,What is biopiracy?,The unauthorized appropriation of knowledge and genetic resources of farming and indigenous communities seeking exclusive monopoly control,The act of exploring natural resources for undiscovered chemical compounds with medicinal or anti-microbial properties,"The commercialization of indigenous medicinal plants, seeds, genetic resources, and traditional medicines",The expropriation of indigenous land for their genetic resources without fair compensation,The harm caused to indigenous populations due to the sudden increase in commercial value of the species producing the active compound,A
4889,What was the purpose of the Martin AN/FSG-1 Antiaircraft Defense System?,To computerize Cold War air defense command posts,To coordinate ground-controlled interception by Nike and MIM-23 Hawk missiles,To reduce the time to designate the appropriate missile battery to launch,To replace the manual plotting board operations in air defense command posts,To automate the communication with missile launch batteries,A
4890,Where is the forest steppe primarily located?,Central Europe,North America,Central Asia,Australia,South America,C
4891,What is Artin's conjecture on primitive roots in number theory?,A given integer a that is neither a square number nor -1 is a primitive root modulo infinitely many primes p.,A given integer a that is neither a square number nor -1 is a primitive root modulo a single prime p.,There is a single value of a for which Artin's conjecture is proved.,There is no integer a that can be a primitive root modulo any prime p.,Artin's conjecture only applies to square numbers.,A
4892,What are the notable applications of nuclear technology?,Smoke detectors,Gun sights,Nuclear reactors,Nuclear medicine,Nuclear weapons,C
